,key,translations,count
0,luire,辉光,402
1,vous,你,396
2,m’,米’,383
3,pouvoir,力量,379
4,au,非盟,365
5,!,！,360
6,cela,那,355
7,–,False,345
8,plus,加,332
9,même,甚至,330
10,s’,s’,330
11,aller,去,323
12,si,和,318
13,se,和,307
14,«,False,292
15,»,False,292
16,sur,在,292
17,moi,我,288
18,comme,作为,269
19,:,False,262
20,par,标杆,261
21,avec,和,260
22,bien,好的,247
23,on,在,244
24,quand,什么时候,229
25,"	
",,221
26,tu,你,219
27,nous,我们,209
28,voir,看,195
29,alors,所以,195
30,vouloir,想要,188
31,autre,其他,177
32,y,y,170
33,classe,班级,162
34,celer,芹菜,160
35,savoir,知道,160
36,mère,母亲,154
37,prendre,拿,151
38,fois,次,146
39,ou,或者,145
40,maman,妈妈,144
41,trouver,寻找,142
42,venir,来,142
43,sans,无字体,141
44,-,False,140
45,rien,没有什么,138
46,jour,日报,135
47,chose,选择了,134
48,parler,讲话,133
49,Naoki,直树,132
50,élève,瞳孔,124
51,passer,过路人,123
52,seul,独自的,122
53,encore,安可,119
54,devoir,责任,118
55,aussi,还,117
56,premier,总理,116
57,quelque,一些,115
58,fait,做,111
59,penser,思考,111
60,croire,相信,107
61,votre,你的,106
62,parce,因为,106
63,peu,小的,104
64,petit,小的,104
65,où,或者,102
66,demander,问,102
67,mettre,放,102
68,non,非,101
69,bon,邦,101
70,collège,大学,99
71,celui,唯一的那个,97
72,Watanabe,渡边,96
73,Nao,奈绪,96
74,"
	
",,96
75,Shūya,舒雅,95
76,-ce,-ce,94
77,très,非常,91
78,fille,女孩,91
79,professeur,老师,88
80,regarder,看,85
81,toujours,总是,84
82,là,成为,83
83,depuis,自从,83
84,main,主要的,83
85,Manami,一点也不,81
86,falloir,需要,80
87,vie,争夺,80
88,comprendre,去理解,80
89,vrai,真的,79
90,école,高等学校,79
91,après,后,79
92,prof,教授,78
93,arriver,到达,77
94,moment,片刻,77
95,monde,世界,76
96,Moriguchi,守口,76
97,tuer,杀,75
98,quoi,夸伊,74
99,donner,唐纳,74
100,enfant,幼儿,74
101,devant,在前,74
102,dernier,最后的,73
103,maintenant,现在,73
104,piscine,水池,73
105,tête,头,73
106,jamais,绝不,72
107,sûr,在,71
108,temps,临时,71
109,commencer,开始,71
110,notre,巴黎圣母院,70
111,deux,二,69
112,mort,莫特,69
113,quelqu’,某人,68
114,ton,吨,68
115,personne,人,67
116,sortir,出去,66
117,avant,前卫,65
118,te,这,65
119,mourir,死,64
120,entendre,恩滕德,61
121,rester,停留,61
122,raconter,告诉,61
123,-là,-成为,61
124,maison,梅森,60
125,cours,课程,59
126,pourquoi,为什么,59
127,oeil,厄伊尔,59
128,affaire,事务,59
129,Werther,维特,59
130,année,年,58
131,entrer,进入,58
132,peut-être,或许,58
133,coup,政变,58
134,lait,莱特,57
135,aimer,喜欢,57
136,a,A,56
137,garçon,男生,55
138,devenir,变得,55
139,façon,方式,55
140,appeler,打电话,55
141,oui,欧伊,54
142,grand,盛大,54
143,père,父亲,54
144,écrire,来写,54
145,crime,犯罪,54
146,mot,反对,53
147,juste,只是,53
148,ni,在,53
149,jusqu’,直到,53
150,Shimomura,下村,53
151,sentir,感觉,52
152,déjà,似曾相识,51
153,Ah,啊,50
154,an,一个,50
155,nouveau,新风格,50
156,moins,较少的,50
157,mme,嗯,50
158,m.,米。,49
159,laisser,离开,49
160,question,问题,49
161,arrêter,停止,49
162,police,警察,49
163,chez,切兹,48
164,aucun,没有任何,48
165,pendant,吊坠,48
166,heure,小时,47
167,enfin,最后,46
168,cas,CAS,46
169,envie,嫉妒,46
170,chambre,卧室,46
171,air,空气,45
172,trop,太多了,45
173,comment,评论,45
174,quel,那,45
175,toi,土伊,45
176,point,观点,44
177,famille,家庭,43
178,jeune,年轻的,43
179,vraiment,真的,43
180,nom,名义,43
181,attendre,等待,43
182,répondre,回答,43
183,poser,装腔作势,42
184,ouvrir,打开,42
185,principal,主要的,42
186,histoire,历史,42
187,tellement,这样的,42
188,connaître,知道,41
189,idée,主意,41
190,t’,t’,41
191,côté,边,41
192,sang,桑,41
193,donc,所以,40
194,soir,晚上,40
195,mieux,更好的,40
196,semaine,星期,40
197,tomber,跌倒,40
198,peur,害怕,40
199,imaginer,想象,39
200,ailleurs,别处,39
201,b,乙,39
202,mal,马尔,39
203,recevoir,收到,39
204,lire,里拉,39
205,abord,在船上,39
206,carton,纸盒,38
207,voilà,瞧,38
208,fin,鳍,38
209,*,False,38
210,tenir,有,38
211,manger,马槽,38
212,-t,-t,37
213,partir,离开,37
214,pochette,覆盖,37
215,surtout,首先,37
216,journal,杂志,37
217,Terada,寺田,37
218,pourtant,然而,36
219,apprendre,学习,36
220,seulement,仅有的,35
221,lequel,哪个,35
222,mauvais,坏的,35
223,rendre,回报,35
224,problème,问题,34
225,suffire,够了,34
226,chercher,寻找,34
227,mois,月,34
228,plutôt,反而,34
229,fort,堡,34
230,chaque,每个,34
231,doute,怀疑,34
232,fils,菲尔斯,34
233,porte-monnaie,钱包,34
234,sembler,似乎,33
235,cœur,心,33
236,tant,坦特,33
237,vivre,生活,33
238,contre,反对,33
239,finalement,最终,33
240,sourire,微笑,33
241,accident,事故,33
242,frère,兄弟,33
243,porte,门,32
244,rentrer,回来,32
245,salle,大厅,32
246,travail,工作,32
247,portable,便携的,32
248,jeter,杰特,32
249,assez,足够的,31
250,gens,氏族,31
251,"
	",,31
252,vers,向,31
253,regard,看待,31
254,lapin,拉普兰,31
255,essayer,尝试,31
256,bruit,噪音,31
257,revenir,回来,30
258,Eh,呃,30
259,sou,在,30
260,lieu,代替,30
261,jouer,玩,30
262,note,笔记,30
263,certain,肯定,30
264,place,地方,30
265,évidemment,明显地,30
266,plusieurs,一些,30
267,invention,发明,30
268,âge,年龄,29
269,dont,不,29
270,part,部分,29
271,aujourd’hui,今天,29
272,droit,正确的,29
273,trimestre,四分之一,29
274,dès,的,28
275,boire,喝,28
276,montrer,以显示,28
277,empêcher,阻止,28
278,voix,嗓音,28
279,souvenir,纪念品,28
280,exactement,确切地,28
281,début,开始,28
282,corps,兵团,28
283,cause,原因,27
284,télé,电视,27
285,toucher,触摸,27
286,normal,普通的,27
287,acheter,阿切特,27
288,fond,喜欢,27
289,produit,产品,26
290,genre,类型,26
291,trois,三,26
292,Sakuranomiya,樱之宫,26
293,meilleur,最好的,26
294,lui-même,他自己,26
295,impression,印象,26
296,pleurer,哭,26
297,bras,胸罩,26
298,Mizuki,水木,26
299,enseignant,老师,25
300,beaucoup,很多,25
301,porter,搬运工,25
302,moindre,较小的,25
303,apparaître,出现,25
304,lettre,信,25
305,apporter,带来,25
306,changer,改变者,24
307,oublier,忘记,24
308,pousser,推,24
309,matin,晨报,24
310,rire,笑,24
311,puisque,自从,24
